"folioviv","tipo_viv","dotac_agua","disp_elect","tenencia","ubica_geo","est_socio","edo"
"1406599501","1","1","1","4","14101","1","14"
"1406599502","1","1","1","4","14101","1","14"
"1406599503","1","1","1","4","14101","1","14"
"1406599504","1","1","1","4","14101","1","14"
"1406599505","1","1","1","1","14101","1","14"
"1406599506","1","1","1","3","14101","1","14"
"1406607201","1","1","1","3","14101","4","14"
"1406607202","1","1","1","3","14101","4","14"
"1406607203","1","1","1","3","14101","4","14"
"1406607205","1","1","1","3","14101","4","14"
"1406639601","1","1","1","4","14101","2","14"
"1406639602","1","1","1","1","14101","2","14"
"1406639603","1","1","1","4","14101","2","14"
"1406639604","1","1","1","2","14101","2","14"
"1406639605","1","1","1","4","14101","2","14"
"1406639606","1","1","1","3","14101","2","14"
"1406672701","1","1","1","4","14101","2","14"
"1406672702","1","3","1","4","14101","2","14"
"1406672704","1","1","1","1","14101","2","14"
"1406672705","1","2","1","1","14101","2","14"
"1406672706","1","1","1","4","14101","2","14"
"1406720501","1","1","1","4","14101","4","14"
"1406720503","1","1","1","1","14101","4","14"
"1406720504","1","1","1","1","14101","4","14"
"1406720505","1","1","1","4","14101","4","14"
"1406746605","2","1","1","3","14101","3","14"
"1406746606","2","1","1","1","14101","3","14"
"1406782701","3","1","1","1","14120","3","14"
"1406782702","1","1","1","1","14120","3","14"
"1406782703","1","1","1","2","14120","3","14"
"1406782704","1","1","1","4","14120","3","14"
"1406782705","1","1","1","1","14120","3","14"
"1406782706","1","1","1","4","14120","3","14"
"1406797201","1","1","1","4","14120","2","14"
"1406797202","1","1","1","4","14120","2","14"
"1406797203","1","2","1","4","14120","2","14"
"1406797204","2","1","1","1","14120","2","14"
"1406797205","2","2","1","1","14120","2","14"
"1406797206","2","2","1","1","14120","2","14"
"1406892201","3","1","1","2","14120","3","14"
"1406892202","1","1","1","1","14120","3","14"
"1406892203","3","1","1","1","14120","3","14"
"1406892204","1","1","1","1","14120","3","14"
